Source,from_loc,from_geoid,from_date_1,Target,to_loc,to_geoid,to_date_1,date_gap
NODE_0000204,Claiborne Parish,22027,2020-08-24,hCoV-19/USA/LA-EVTL1019/2020,Claiborne Parish,22027,2020-08-24,0
NODE_0000204,Claiborne Parish,22027,2020-08-24,hCoV-19/USA/LA-EVTL1021/2020,Claiborne Parish,22027,2020-08-24,0
NODE_0000223,Caddo Parish,22017,2020-12-10,hCoV-19/USA/LA-EVTL1227/2020,Caddo Parish,22017,2020-12-15,5
NODE_0000223,Caddo Parish,22017,2020-12-10,hCoV-19/USA/LA-EVTL1789/2021,Caddo Parish,22017,2021-01-18,39
NODE_0000241,Caddo Parish,22017,2020-06-24,hCoV-19/USA/LA-EVTL543/2020,Caddo Parish,22017,2020-06-29,5
NODE_0000241,Caddo Parish,22017,2020-06-24,NODE_0000270,Caddo Parish,22017,2020-07-08,14
NODE_0000266,Caddo Parish,22017,2020-10-21,hCoV-19/USA/LA-EVTL1854/2020,Caddo Parish,22017,2020-10-21,0
NODE_0000266,Caddo Parish,22017,2020-10-21,NODE_0000267,Caddo Parish,22017,2020-11-26,36
NODE_0000267,Caddo Parish,22017,2020-11-26,hCoV-19/USA/LA-EVTL1105/2020,Caddo Parish,22017,2020-12-02,6
NODE_0000267,Caddo Parish,22017,2020-11-26,hCoV-19/USA/LA-EVTL1454/2020,Caddo Parish,22017,2020-12-16,20
NODE_0000270,Caddo Parish,22017,2020-07-08,NODE_0000273,Caddo Parish,22017,2020-08-04,27
NODE_0000273,Caddo Parish,22017,2020-08-04,NODE_0000274,Caddo Parish,22017,2020-09-07,34
NODE_0000274,Caddo Parish,22017,2020-09-07,NODE_0000275,Caddo Parish,22017,2020-09-22,15
NODE_0000275,Caddo Parish,22017,2020-09-22,NODE_0000276,Caddo Parish,22017,2020-09-25,3
NODE_0000276,Caddo Parish,22017,2020-09-25,NODE_0000259,Caddo Parish,22017,2020-10-29,34
NODE_0000259,Caddo Parish,22017,2020-10-29,NODE_0000260,Caddo Parish,22017,2020-12-10,42
NODE_0000260,Caddo Parish,22017,2020-12-10,hCoV-19/USA/LA-EVTL1556/2020,Caddo Parish,22017,2020-12-29,19
NODE_0000259,Caddo Parish,22017,2020-10-29,NODE_0000280,Caddo Parish,22017,2020-11-04,6
NODE_0000280,Caddo Parish,22017,2020-11-04,NODE_0000262,Caddo Parish,22017,2020-11-20,16
NODE_0000262,Caddo Parish,22017,2020-11-20,hCoV-19/USA/LA-EVTL1128/2020,Webster Parish,22119,2020-12-05,15
NODE_0000262,Caddo Parish,22017,2020-11-20,hCoV-19/USA/LA-EVTL1557/2020,Caddo Parish,22017,2020-12-30,40
NODE_0000251,Caddo Parish,22017,2020-11-29,hCoV-19/USA/LA-EVTL1132/2020,Caddo Parish,22017,2020-12-06,7
NODE_0000251,Caddo Parish,22017,2020-11-29,NODE_0000337,Caddo Parish,22017,2020-12-03,4
NODE_0000337,Caddo Parish,22017,2020-12-03,NODE_0000295,Caddo Parish,22017,2020-12-07,4
NODE_0000295,Caddo Parish,22017,2020-12-07,hCoV-19/USA/LA-EVTL1168/2020,Caddo Parish,22017,2020-12-09,2
NODE_0000295,Caddo Parish,22017,2020-12-07,NODE_0000296,Caddo Parish,22017,2020-12-09,2
NODE_0000296,Caddo Parish,22017,2020-12-09,NODE_0000297,Caddo Parish,22017,2020-12-14,5
NODE_0000297,Caddo Parish,22017,2020-12-14,hCoV-19/USA/LA-EVTL1225/2020,Caddo Parish,22017,2020-12-14,0
NODE_0000297,Caddo Parish,22017,2020-12-14,hCoV-19/USA/LA-EVTL1816/2021,Caddo Parish,22017,2021-01-18,35
NODE_0000273,Caddo Parish,22017,2020-08-04,NODE_0000268,Caddo Parish,22017,2020-08-24,20
NODE_0000268,Caddo Parish,22017,2020-08-24,NODE_0000269,Caddo Parish,22017,2020-09-09,16
NODE_0000269,Caddo Parish,22017,2020-09-09,NODE_0000271,Caddo Parish,22017,2020-09-22,13
NODE_0000272,Caddo Parish,22017,2020-11-13,hCoV-19/USA/LA-EVTL1143/2020,Caddo Parish,22017,2020-12-07,24
NODE_0000272,Caddo Parish,22017,2020-11-13,hCoV-19/USA/LA-EVTL1492/2020,Bossier Parish,22015,2020-12-27,44
NODE_0000272,Caddo Parish,22017,2020-11-13,NODE_0000348,Caddo Parish,22017,2020-11-19,6
NODE_0000348,Caddo Parish,22017,2020-11-19,NODE_0000279,Bossier Parish,22015,2020-12-03,14
NODE_0000279,Bossier Parish,22015,2020-12-03,hCoV-19/USA/LA-EVTL1465/2020,Bossier Parish,22015,2020-12-25,22
NODE_0000279,Bossier Parish,22015,2020-12-03,NODE_0000303,Bossier Parish,22015,2020-12-10,7
NODE_0000303,Bossier Parish,22015,2020-12-10,hCoV-19/USA/LA-EVTL1467/2020,Bossier Parish,22015,2020-12-25,15
NODE_0000303,Bossier Parish,22015,2020-12-10,hCoV-19/USA/LA-EVTL1470/2020,Bossier Parish,22015,2020-12-25,15
NODE_0000348,Caddo Parish,22017,2020-11-19,NODE_0000304,Caddo Parish,22017,2020-11-26,7
NODE_0000304,Caddo Parish,22017,2020-11-26,hCoV-19/USA/LA-EVTL1208/2020,Caddo Parish,22017,2020-12-13,17
NODE_0000304,Caddo Parish,22017,2020-11-26,NODE_0000305,Caddo Parish,22017,2020-12-03,7
NODE_0000305,Caddo Parish,22017,2020-12-03,hCoV-19/USA/LA-EVTL1457/2020,Caddo Parish,22017,2020-12-16,13
NODE_0000269,Caddo Parish,22017,2020-09-09,NODE_0000309,Caddo Parish,22017,2020-09-22,13
NODE_0000309,Caddo Parish,22017,2020-09-22,NODE_0000311,Caddo Parish,22017,2020-10-13,21
NODE_0000283,Bossier Parish,22015,2020-12-20,NODE_0000284,Bossier Parish,22015,2020-12-29,9
NODE_0000284,Bossier Parish,22015,2020-12-29,hCoV-19/USA/LA-EVTL1551/2020,Bossier Parish,22015,2020-12-29,0
NODE_0000284,Bossier Parish,22015,2020-12-29,hCoV-19/USA/LA-EVTL1663/2021,Bossier Parish,22015,2021-01-06,8
NODE_0000283,Bossier Parish,22015,2020-12-20,NODE_0000316,Bossier Parish,22015,2021-01-06,17
NODE_0000316,Bossier Parish,22015,2021-01-06,hCoV-19/USA/LA-EVTL1748/2021,Bossier Parish,22015,2021-01-13,7
NODE_0000316,Bossier Parish,22015,2021-01-06,hCoV-19/USA/LA-EVTL1662/2021,Bossier Parish,22015,2021-01-06,0
NODE_0000291,Webster Parish,22119,2020-12-03,hCoV-19/USA/LA-EVTL1158/2020,Webster Parish,22119,2020-12-09,6
NODE_0000291,Webster Parish,22119,2020-12-03,hCoV-19/USA/LA-EVTL1165/2020,Webster Parish,22119,2020-12-09,6
NODE_0000320,Webster Parish,22119,2020-12-02,hCoV-19/USA/LA-EVTL1201/2020,Webster Parish,22119,2020-12-11,9
NODE_0000320,Webster Parish,22119,2020-12-02,NODE_0000288,Webster Parish,22119,2020-12-09,7
NODE_0000288,Webster Parish,22119,2020-12-09,hCoV-19/USA/LA-EVTL1161/2020,Webster Parish,22119,2020-12-09,0
NODE_0000288,Webster Parish,22119,2020-12-09,hCoV-19/USA/LA-EVTL1231/2020,Webster Parish,22119,2020-12-16,7
NODE_0000311,Caddo Parish,22017,2020-10-13,NODE_0000292,Caddo Parish,22017,2020-11-16,34
NODE_0000292,Caddo Parish,22017,2020-11-16,NODE_0000293,Caddo Parish,22017,2020-12-09,23
NODE_0000293,Caddo Parish,22017,2020-12-09,hCoV-19/USA/LA-EVTL1282/2020,Caddo Parish,22017,2020-12-09,0
NODE_0000293,Caddo Parish,22017,2020-12-09,hCoV-19/USA/LA-EVTL1580/2021,Caddo Parish,22017,2021-01-02,24
NODE_0000292,Caddo Parish,22017,2020-11-16,NODE_0000294,Bossier Parish,22015,2020-11-26,10
NODE_0000294,Bossier Parish,22015,2020-11-26,hCoV-19/USA/LA-EVTL1097/2020,Bossier Parish,22015,2020-11-30,4
NODE_0000294,Bossier Parish,22015,2020-11-26,hCoV-19/USA/LA-EVTL1223/2020,Bossier Parish,22015,2020-12-14,18
NODE_0000294,Bossier Parish,22015,2020-11-26,NODE_0000327,Bossier Parish,22015,2020-11-28,2
NODE_0000327,Bossier Parish,22015,2020-11-28,hCoV-19/USA/LA-EVTL1615/2021,Caddo Parish,22017,2021-01-04,37
NODE_0000327,Bossier Parish,22015,2020-11-28,NODE_0000328,Bossier Parish,22015,2020-12-01,3
NODE_0000328,Bossier Parish,22015,2020-12-01,NODE_0000329,Bossier Parish,22015,2020-12-04,3
NODE_0000329,Bossier Parish,22015,2020-12-04,hCoV-19/USA/LA-EVTL1126/2020,Bossier Parish,22015,2020-12-04,0
NODE_0000328,Bossier Parish,22015,2020-12-01,NODE_0000330,Bossier Parish,22015,2020-12-03,2
